2016-01-04 12:49:05,2016-01-02,"PT20.345S ",Stanisławski,V-,Kościelec,Polska,Tatry,"Jan Kowalski, Nowak B.",,"4,5h",j.kowalski@przykład.com
2017-04-07 22:11:13,2016-07-04,,Środkowe Żebro,IV,Skrajny Granat,Polska,"Tatry, Dolina Gąsienicowa","Jan Kowalski, Nowak B.",,,j.kowalski@przykład.com
2017-04-07 22:13:50,2016-07-05,,Prawe Żebro,IV+,Skrajny Granat,Polska,"Tatry, Dolina Gąsienicowa","Jan Kowalski, Nowak B.",Anna Kowalska,,j.kowalski@przykład.com
2017-04-07 22:15:43,2016-07-06,,Filar Staszla,V,Zadni Granat,Polska,"Tatry, Dolina Gąsienicowa","Jan Kowalski, Nowak B.",,,j.kowalski@przykład.com
2017-04-07 22:22:13,2016-07-10,,Płyta Lerskiego + Grań Kościelców,II,Kościelec,Polska,"Tatry, Dolina Gąsienicowa","Jan Kowalski, Nowak B.",,,j.kowalski@przykład.com
2011-10-28 08:52:40,2011-04-23,,Fucking rurociąg,VI.1 Flash,"Szara Płyta, Góra Birów",Polska,"Podzamcze, Jura","Jan Kowalski, Nowak B.",,,j.kowalski@przykład.com
2011-10-28 08:53:25,2011-04-23,,Tyrolka,VI.1+ Flash,"Szara Płyta, Góra Birów",Polska,"Podzamcze, Jura","Jan Kowalski, Nowak B.",,,j.kowalski@przykład.com
2013-06-03 10:16:04,2013-05-31,"PT20.345S ",Droga Stanisławskiego,V,Zachodnia ściana Kościelca,Polska,"Tatry, Dolina Gąsienicowa ","Jan Kowalski, Nowak B.",,wolno ze względu na wodę w kominie,j.kowalski@przykład.com
2018-05-11 20:44:02,2018-04-29,,VERZA,6a+,L'orto,Włochy,Arco,"A. Kowalska, J.Kowalski",,,j.kowalski@przykład.com
2018-05-11 20:45:54,2018-04-29,,COSTE,6a OS,L'orto,Włochy,Arco,"A. Kowalska, J.Kowalski",,,przykład2@przykład.com
2018-05-11 20:47:32,2018-04-30,,RUGGIERO LO PERFIDO,6a+ OS,Nago Low Sector,Włochy,Nago – Torbole,"A. Kowalska, J.Kowalski",,,j.kowalski@przykład.com
2018-05-11 20:49:28,2018-04-30,,CHIEDI A BEPPO,6b OS,Nago Low Sector,Włochy,Nago – Torbole,"A. Kowalska, J.Kowalski",,,j.kowalski@przykład.com
